Party,Loss,Accuracy,Precision
1, 0.41134814818501475, 0.8738, 0.91
0, 0.36261750679016114, 0.8848, 0.92
1, 0.4379895497381687, 0.8706, 0.9
0, 0.36512768187522887, 0.8958, 0.91
1, 0.4315611868560314, 0.8764, 0.91
0, 0.4311982044219971, 0.8676, 0.9
1, 0.39049291150569915, 0.8826, 0.91
0, 0.44977514228820803, 0.8682, 0.9
1, 0.3937854927867651, 0.8882, 0.91
0, 0.4231573085784912, 0.8744, 0.9
1, 0.37535717123895884, 0.8852, 0.91
0,-1,-1,
1,-1,-1,
0,-1,-1,
1,-1,-1,
0, 0.5661059052467347,-1, 0.89
1, 0.5957767593026161,-1, 0.9
0, 0.7319403078079224,-1, 0.88
1, 0.5271850387334823,-1, 0.91
0, 0.507435107421875,-1, 0.9
1, 0.4920888968229294,-1, 0.91
0, 0.5179302203178405,-1, 0.9
1, 0.6958979903697967,-1, 0.88
0, 0.7942836170196533,-1, 0.87
1, 0.5584740411520004,-1, 0.9
0, 0.6466043947219848,-1, 0.89
1, 0.4843197057723999,-1, 0.91
0, 0.5393713509559631,-1, 0.89
1, 0.4608072944164276,-1, 0.91
0, 0.5702453459262848,-1, 0.89
1, 0.4954287765741348,-1, 0.91
0, 0.46227876267433166,-1, 0.91
1, 0.5720854627609253,-1, 0.9
0, 0.5114640661239624,-1, 0.89
1, 0.6670663603067398,-1, 0.89
0, 0.6462249332427978,-1, 0.88
1, 0.5738039869070053,-1, 0.88
0, 0.6363498469352722,-1, 0.89
1, 0.7095247000694275,-1, 0.87
0, 0.6042861717224121,-1, 0.88
1, 0.5209637945890426,-1, 0.9
0, 0.6395195287704468,-1, 0.88
1, 0.48655815913677214,-1, 0.9
0, 0.5308322425842286,-1, 0.91
1, 0.5283635169506073,-1, 0.91
0, 0.5321000553131103,-1, 0.9
1, 0.49809254986047746,-1, 0.91
0, 0.5378604682922363,-1, 0.9
1, 0.5029737085103989,-1, 0.9
0, 0.6806353607177734,-1, 0.89
1, 0.5590997454166412,-1, 0.9
0, 0.4977715768814087,-1, 0.91
1, 0.5098075805187225,-1, 0.91
0, 0.6135952379226685,-1, 0.88
1, 0.49311293530464173,-1, 0.91
0, 0.7088230192184448,-1, 0.89
1, 0.5734241932988167,-1, 0.89
0, 0.7557021806716919,-1, 0.87
1, 0.956071370601654,-1, 0.88
0, 0.56989000415802,-1, 0.9
1, 0.5557449571609497,-1, 0.9
0, 0.7122383243560791,-1, 0.89
1, 0.5237042093753814,-1, 0.9
0, 0.6977115247726441,-1, 0.91
1, 0.6095395523071289,-1, 0.9
0, 0.4826251539230347,-1, 0.9
1, 0.6993369357824326,-1, 0.88
0, 0.6031062525749207,-1, 0.9
1, 0.6115628448486328,-1, 0.88
0, 0.9219890481948853,-1, 0.86
1, 0.768948625946045,-1, 0.87
0, 0.4631618688583374,-1, 0.91
1, 0.5167659165382386,-1, 0.9
0, 0.6128989159584045,-1, 0.89
1, 0.6841683150291443,-1, 0.89
0, 0.5162027202606201,-1, 0.92
1, 0.5447424327373505,-1, 0.89
0, 0.7192859529495239,-1, 0.87
1, 0.5787709914207458,-1, 0.92
0, 0.605185883808136,-1, 0.89
1, 0.5027101973533631,-1, 0.91
0, 0.7998242412567139,-1, 0.86
1, 0.6376716403007507,-1, 0.88
0, 0.5499034901618958,-1, 0.91
1, 0.5969174582242965,-1, 0.88
0, 0.5927915937423706,-1, 0.89
1, 0.5903184883117676,-1, 0.89
0, 0.47893986740112304,-1, 0.9
1, 0.7100049825668335,-1, 0.89
0, 0.7481043802261352,-1, 0.87
1, 0.6549169359207153,-1, 0.89
0, 0.46777552852630616,-1, 0.92
1, 0.482239470243454,-1, 0.91
0, 0.5495979099273681,-1, 0.89
1, 0.5439249914169312,-1, 0.9
0, 0.5081381123542785,-1, 0.91
1, 0.5422346560955048,-1, 0.91
0, 0.8395953802108764,-1, 0.88
1, 0.5284051847219468, 0.8366, 0.89
0, 0.6222210698127747,-1, 0.9
1, 0.5544212942123413, 0.8168, 0.89
0, 0.520170879650116,-1, 0.9
1, 0.6010577968835831, 0.8174, 0.89
0, 0.5434044803619384,-1, 0.92
1, 0.598224003303051, 0.8032, 0.89
0, 0.5512099658966064,-1, 0.89
1, 0.4751573087334633, 0.853, 0.9
0, 0.9557840883255004,-1, 0.89
1, 0.6269861812591553, 0.8026, 0.9
0, 0.8611989910125732,-1, 0.87
1, 0.53655903403759, 0.8256, 0.89
0, 0.4833712910652161,-1, 0.9
1, 0.5402657781839371, 0.819, 0.9
0, 0.6459496762275696,-1, 0.9
1, 0.528170568227768, 0.845, 0.9
0, 0.613147395849228,-1, 0.88
1, 0.6830883389472961, 0.7734, 0.89
0, 0.48937839736938477,-1, 0.9
1, 0.6606586323142052, 0.7898, 0.88
